symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
OGN,9,2025-05-10,2025-05-11,1,0.0719,0.0702,0.06039286,16.0,0.00383571,bullish,direction_flip,-2.3644,-2.5644,False,False,bullish,True,0.045,0.074,1,True,bullish,True,0.055,0.067,1,True,bullish,True,0.063,0.0678,1,[V3:breakout_ready] READY (BULLISH),0.343614,0.334802,
STORJ,10,2025-05-10,2025-05-11,1,0.3397,0.3342,0.28066429,17.38,0.01967857,bullish,direction_flip,-1.6191,-1.8191,False,False,bullish,True,0.21,0.345,2,True,bullish,True,0.273,0.307,1,True,bullish,True,0.307,0.326,1,[V3:breakout_ready] READY (BULLISH),0.295552,0.290176,
TRB,4,2025-05-10,2025-08-26,108,37.4,33.34,30.37571429,18.78,2.34142857,bullish,direction_flip,-10.8556,-11.0556,False,False,bullish,False,19.5,33.5,1,True,bullish,True,27.0,28.5,1,True,bullish,True,33.8,35.2,1,[V3:breakout_ready] READY (BULLISH),0.73922,0.657494,
T,2,2025-05-10,2025-09-30,143,0.01952,0.01475,0.01630786,16.46,0.00107071,bullish,direction_flip,-24.4365,-24.6365,False,False,bullish,True,0.0115,0.025,2,True,bullish,True,0.0165,0.0181,1,True,bullish,True,0.01805,0.01905,1,[V3:breakout_ready] READY (BULLISH),0.987089,0.743905,
UMA,3,2025-05-10,2025-05-11,1,1.372,1.352,1.14078571,16.85,0.07707143,bullish,direction_flip,-1.4577,-1.6577,False,False,bullish,True,0.89,1.26,1,True,bullish,True,1.1,1.27,1,True,bullish,True,1.265,1.345,1,[V3:breakout_ready] READY (BULLISH),0.616192,0.605977,
DODO,3,2025-05-12,2025-05-13,1,0.0592,0.0609,0.04454286,24.76,0.00488571,bullish,direction_flip,2.8716,2.6716,True,False,bullish,True,0.039,0.061,1,True,bullish,True,0.044,0.0535,1,True,bullish,True,0.0532,0.055,1,[V3:breakout_ready] READY (BULLISH),0.981502,1.007724,
GAS,4,2025-05-12,2025-05-13,1,3.728,3.722,3.03885714,18.49,0.22971429,bullish,direction_flip,-0.1609,-0.3609,False,False,bullish,True,1.8,4.2,1,True,bullish,True,3.03,3.35,1,True,bullish,True,3.34,3.51,1,[V3:breakout_ready] READY (BULLISH),2.564167,2.554912,
OGN,10,2025-05-12,2025-05-13,1,0.0711,0.0741,0.05845714,17.78,0.00421429,bullish,direction_flip,4.2194,4.0194,True,False,bullish,True,0.045,0.074,1,True,bullish,True,0.055,0.067,1,True,bullish,True,0.063,0.0678,1,[V3:breakout_ready] READY (BULLISH),0.334802,0.348259,
STORJ,11,2025-05-12,2025-05-13,1,0.3356,0.3443,0.27602857,17.75,0.01985714,bullish,direction_flip,2.5924,2.3924,True,False,bullish,True,0.21,0.345,2,True,bullish,True,0.273,0.307,1,True,bullish,True,0.307,0.326,1,[V3:breakout_ready] READY (BULLISH),0.290176,0.297118,
UMA,4,2025-05-12,2025-05-13,1,1.343,1.388,1.091,18.76,0.084,bullish,direction_flip,3.3507,3.1507,True,False,bullish,True,0.89,1.26,1,True,bullish,True,1.1,1.27,1,True,bullish,True,1.265,1.345,1,[V3:breakout_ready] READY (BULLISH),0.605977,0.62507,
